townid,name,regionid
1,Askar,1
2,Hubyar,1
3,Husn Fulq,1
4,Iyakis,1
5,Qasira,1
6,Quyaz,1
7,Razih,1
8,Sanala,1
9,Car Banseth,2
10,Dunglanys,2
11,Marunath,2
12,Pen Cannoc,2
13,Seonon,2
14,Akkalat,3
15,Baltakhand,3
16,Chaikand,3
17,Makeb,3
18,Odokh,3
19,Ortongard,3
20,Balgard,4
21,Omor,4
22,Revyl,4
23,Sibir,4
24,Tyal,4
25,Varcheg,4
26,Varnovapol,4
27,Charas,5
28,Galend,5
29,Jaculan,5
30,Ocs Hall,5
31,Ostican,5
32,Pravend,5
33,Rovalt,5
34,Sargot,5
35,Amprela,6
36,Argoron,6
37,Diathma,6
38,Epicrotea,6
39,Myzea,6
40,Saneopa,6
41,Danustica,7
42,Lycaron,7
43,Onira,7
44,Phycaon,7
45,Poros,7
46,Syronea,7
47,Vostrum,7
48,Amitatys,8
49,Jalmarys,8
50,Lageta,8
51,Ortysia,8
52,Rhotae,8
53,Zeonica,8
54,Gretysfjord,9
55,Hargard,9
56,Hvalvik,9
57,Thronderlag,9
